BlackRock,0,1,2,33.333333333333336
Canada,0,5,5,050.0
Announces,77,232,293,51.32890365448505
Estimated,1,1,4,33.333333333333336
2017,60,187,292,45.82560296846011
Annual,8,41,50,49.494949494949495
Reinvested,0,1,2,33.333333333333336
Capital,4,20,28,46.15384615384615
Gains,1,1,3,040.0
Distributions,1,2,6,33.333333333333336
iShares,0,1,2,33.333333333333336
ETFs,0,1,4,020.0
NYSE,25,79,83,55.61497326203209
Point,2,2,2,66.66666666666667
Loma,2,1,2,060.0
Resources,4,14,15,54.54545454545455
Third,1,31,41,43.83561643835616
Quarter,7,59,80,45.205479452054796
Financial,10,32,49,46.15384615384615
Operating,1,3,5,44.44444444444444
Results,12,65,106,42.076502732240435
Venture,14,43,60,48.717948717948715
Exchange,20,89,118,48.01762114537445
November,28,68,103,48.24120603015076
Alamos,1,1,4,33.333333333333336
Gold,2,13,19,44.11764705882353
Completion,6,8,9,60.869565217391305
Acquisition,3,6,8,52.94117647058823
Richmont,0,0,1,000.0
Mines,4,6,6,062.5
strong,62,214,306,47.422680412371136
amounts,0,1,3,025.0
United,1,6,9,43.75
States,1,2,8,27.272727272727273
dollars,0,1,3,025.0
unless,0,1,3,025.0
otherwise,0,1,3,025.0
stated,0,1,3,025.0
Technologies,1,11,17,41.37931034482759
Passing,0,0,1,000.0
Jean,0,1,2,33.333333333333336
Lamarre,0,0,1,000.0
Chairman,1,1,2,050.0
Board,7,20,26,50.943396226415096
Directors,4,18,20,52.38095238095238
Company,10,24,36,48.57142857142857
Global,7,22,24,54.716981132075475
Carbon,0,2,0,100.0
Black,2,6,5,61.53846153846154
Market,4,30,25,57.6271186440678
2025,1,1,0,100.0
Profiles,0,1,0,100.0
Producers,0,1,0,100.0
Including,0,2,0,100.0
Product,2,7,7,56.25
Production,6,16,11,66.66666666666667
Capacities,0,1,0,100.0
Revenues,0,5,6,45.45454545454545
Ethereum,0,1,1,050.0
Price,1,3,0,100.0
Hits,0,1,0,100.0
High,3,5,10,44.44444444444444
Billionaire,0,1,0,100.0
Predicts,0,2,1,66.66666666666667
Surge,0,1,0,100.0
Next,0,2,7,22.22222222222222
Month,0,1,0,100.0
West,1,2,1,075.0
Energy,7,21,25,52.83018867924528
Services,4,12,18,47.05882352941177
Closing,8,17,22,53.191489361702125
Shares,4,11,18,45.45454545454545
Debt,3,3,7,46.15384615384615
Settlement,1,3,3,57.142857142857146
10h00,0,1,0,100.0
Deborah,0,1,0,100.0
Rose,0,1,1,050.0
designe,0,1,0,100.0
parmi,0,1,0,100.0
femmes,0,1,0,100.0
plus,1,1,2,050.0
influentes,0,1,0,100.0
director,2,0,0,100.0
James,2,1,0,100.0
Tisch,2,0,0,100.0
discloses,2,0,0,100.0
million,9,15,25,48.97959183673469
stock,2,2,3,57.142857142857146
purchase,2,0,0,100.0
Macro,0,1,0,100.0
Enterprises,2,3,4,55.55555555555556
MOBI724,0,1,3,025.0
Solutions,2,12,21,040.0
MOBIF,0,0,1,000.0
Files,0,3,10,23.076923076923077
Statements,0,0,1,000.0
Invites,0,0,1,000.0
Current,0,2,2,050.0
Future,0,5,4,55.55555555555556
Investors,1,4,10,33.333333333333336
Webinar,0,0,1,000.0
Material,0,0,1,000.0
Management,4,6,11,47.61904761904762
Update,2,7,12,42.857142857142854
Canadian,0,12,17,41.37931034482759
Stock,11,57,73,48.226950354609926
Step,0,0,1,000.0
Governance,0,0,1,000.0
Group,10,32,44,48.83720930232558
Landsnet,0,0,1,000.0
reaches,0,0,1,000.0
agreement,1,2,4,42.857142857142854
with,15,42,70,44.881889763779526
Nordic,1,3,9,30.76923076923077
Investment,3,11,9,60.869565217391305
Bank,10,10,17,54.054054054054056
Iceland,0,0,1,000.0
LNET,0,0,1,000.0
0911,0,0,1,000.0
DryShips,0,1,0,100.0
Launch,4,12,25,39.02439024390244
Website,0,1,0,100.0
Eurocontrol,0,1,0,100.0
Reports,13,45,72,44.61538461538461
SICPA,0,1,0,100.0
Awarded,2,2,2,66.66666666666667
Mozambique,0,1,0,100.0
Fuel,0,2,0,100.0
Marking,0,1,4,020.0
Contract,5,7,9,57.142857142857146
Share,5,17,12,64.70588235294117
buyback,1,1,0,100.0
Bazaarvoice,0,1,0,100.0
Enters,3,18,19,052.5
Into,2,11,6,68.42105263157895
Definitive,1,4,1,83.33333333333333
Agreement,7,22,33,46.774193548387096
Acquired,0,1,0,100.0
Marlin,0,1,0,100.0
Equity,1,8,3,075.0
Partners,5,17,18,055.0
Nasdaq,61,228,309,48.32775919732441
Agrees,0,1,0,100.0
Trial,3,11,13,51.851851851851855
Mining,2,9,2,84.61538461538461
Eureka,0,1,0,100.0
Mine,0,1,2,33.333333333333336
Bitcoin,2,2,8,33.333333333333336
Sets,2,1,6,33.333333333333336
Another,0,1,1,050.0
Record,1,13,24,36.8421052631579
Breaks,0,0,1,000.0
Soars,0,0,2,000.0
Time,1,7,11,42.10526315789474
Endexx,0,0,1,000.0
Acquires,1,2,5,037.5
Holistic,0,0,1,000.0
Earth,0,3,7,030.0
Remedies,0,0,1,000.0
Best,0,3,2,060.0
Selling,0,0,1,000.0
Topical,0,0,3,000.0
Pain,0,0,2,000.0
Relief,0,0,1,000.0
Products,0,2,7,22.22222222222222
full,0,1,1,050.0
scale,0,0,1,000.0
integration,0,0,1,000.0
best,0,0,3,000.0
selling,0,0,2,000.0
Maggie,0,0,2,000.0
Mist,0,0,1,000.0
Balm,0,0,2,000.0
Revenue,3,16,18,51.351351351351354
producing,0,0,1,000.0
acquisition,0,0,3,000.0
immediately,0,0,1,000.0
capture,0,0,1,000.0
percent,0,2,6,025.0
increase,0,5,11,31.25
revenue,0,11,11,050.0
Independent,2,2,6,040.0
Inspectors,0,0,1,000.0
Election,0,3,1,075.0
Certify,0,0,1,000.0
Meeting,1,12,16,44.827586206896555
Resonant,0,0,1,000.0
Expands,2,4,14,030.0
Fabless,0,0,1,000.0
Filter,0,0,1,000.0
System,1,3,10,28.571428571428573
Signing,0,0,2,000.0
First,9,28,26,58.73015873015873
Foundry,0,0,1,000.0
Backend,0,0,1,000.0
Packaging,0,0,1,000.0
Partner,2,12,8,63.63636363636363
CallidusCloud,0,1,0,100.0
President,3,6,9,050.0
Present,2,29,31,050.0
Credit,5,14,12,61.29032258064516
Suisse,0,3,0,100.0
21st,0,1,0,100.0
Technology,4,18,33,040.0
Media,1,4,3,062.5
Telecom,0,1,0,100.0
Conference,6,30,43,45.56962025316456
CALD,0,1,0,100.0
REMINDER,3,7,12,45.45454545454545
MEDIA,0,1,1,050.0
ALERT,1,7,9,47.05882352941177
efabless,0,1,1,050.0
RISC,0,4,0,100.0
Workshop,0,2,1,66.66666666666667
Talk,0,1,0,100.0
Creating,0,2,1,66.66666666666667
Mixed,0,2,0,100.0
Signal,0,2,0,100.0
ASIC,0,2,0,100.0
Using,0,3,1,075.0
Open,1,6,6,53.84615384615385
Source,0,2,1,66.66666666666667
Implementation,0,1,0,100.0
Toolset,0,2,0,100.0
Will,0,2,1,66.66666666666667
Describe,0,1,0,100.0
Designing,0,1,0,100.0
Verifying,0,1,0,100.0
Implementing,0,1,0,100.0
Perseus,0,1,0,100.0
Limited,0,3,4,42.857142857142854
Australian,0,1,4,020.0
Tangelo,1,3,7,36.36363636363637
Games,0,1,1,050.0
Lender,0,0,1,000.0
Amend,0,0,1,000.0
Facility,5,8,12,052.0
Covenants,0,0,1,000.0
Reduced,0,0,1,000.0
Maturity,0,0,1,000.0
Extended,0,1,2,33.333333333333336
Cisco,0,5,3,062.5
Event,1,8,12,42.857142857142854
Community,0,3,2,060.0
Hadoop,0,0,1,000.0
billion,1,14,13,53.57142857142857
2022,0,0,3,000.0
Zion,0,0,1,000.0
Research,2,30,38,45.714285714285715
Medigus,0,1,0,100.0
Billion,3,3,10,037.5
Electric,1,1,2,050.0
Scooter,1,0,0,100.0
Motorcycle,1,0,0,100.0
Analysis,1,15,12,57.142857142857146
Forecast,2,4,5,54.54545454545455
MTBC,0,0,2,000.0
Largest,0,1,4,020.0
Client,0,0,1,000.0
Provider,0,3,5,037.5
Leading,1,2,8,27.272727272727273
Growth,7,42,60,44.95412844036697
Skinvisible,0,1,0,100.0
Proposed,0,4,9,30.76923076923077
Merger,1,1,1,66.66666666666667
Quoin,0,1,0,100.0
Pharmaceuticals,7,17,36,040.0
company,1,7,15,34.78260869565217
expected,0,1,1,050.0
have,0,1,1,050.0
exciting,0,1,0,100.0
product,0,8,4,66.66666666666667
portfolio,1,8,3,075.0
addressing,0,1,0,100.0
major,2,5,3,070.0
unmet,0,1,0,100.0
medical,0,1,0,100.0
needs,0,1,1,050.0
Fortinet,1,7,6,57.142857142857146
Fabric,0,0,1,000.0
Ready,0,1,1,050.0
Program,4,9,9,59.09090909090909
Amazon,0,4,4,050.0
FTNT,0,1,4,020.0
Canstar,1,0,0,100.0
Change,2,0,4,33.333333333333336
Investor,3,6,9,050.0
Call,1,1,1,66.66666666666667
Knight,1,2,1,075.0
Home,1,7,4,66.66666666666667
Index,2,4,0,100.0
Monthly,0,3,2,060.0
Appreciation,0,1,0,100.0
Continues,1,3,3,57.142857142857146
Slow,0,1,0,100.0
Prices,3,5,5,61.53846153846154
Gain,0,1,0,100.0
Percent,0,3,0,100.0
September,1,9,15,040.0
Year,12,27,39,050.0
Over,2,6,10,44.44444444444444
Accelerates,0,1,0,100.0
Slightly,0,1,0,100.0
Millrock,0,2,0,100.0
Sojourn,0,1,0,100.0
Rock,0,1,0,100.0
Sampling,0,1,0,100.0
From,1,2,1,075.0
Willoughby,0,1,0,100.0
Project,2,9,7,61.111111111111114
Golden,1,1,0,100.0
Triangle,0,1,0,100.0
District,4,3,15,31.818181818181817
British,0,1,0,100.0
Columbia,1,5,7,46.15384615384615
Arbutus,0,1,0,100.0
Presentations,0,3,0,100.0
HepDART,0,1,0,100.0
ABUS,0,1,0,100.0
Pollo,1,2,3,050.0
Loco,1,2,3,050.0
Launches,2,15,12,58.62068965517241
Four,0,0,1,000.0
Authentic,0,0,1,000.0
Platters,0,0,1,000.0
LOCO,1,2,3,050.0
Medtronic,0,0,1,000.0
Telehealth,0,0,1,000.0
Support,1,4,9,35.714285714285715
Department,2,0,5,28.571428571428573
Veterans,0,0,1,000.0
Affairs,0,0,1,000.0
National,0,5,3,062.5
Jumei,1,0,0,100.0
Receipt,1,0,3,025.0
Withdrawal,1,0,1,050.0
Buyer,1,0,0,100.0
Going,1,7,6,57.142857142857146
Private,9,27,32,52.94117647058823
Proposal,1,0,1,050.0
JMEI,1,0,0,100.0
Cyber,1,2,3,050.0
