KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
blackrock,0,1,2,33.333333333333336
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
canada,0,5,5,050.0
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
announces,81,245,308,51.41955835962145
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
estimated,1,1,4,33.333333333333336
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
2017,60,187,292,45.82560296846011
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
annual,8,41,50,49.494949494949495
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
reinvested,0,1,2,33.333333333333336
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
capital,4,20,28,46.15384615384615
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
gains,1,1,4,33.333333333333336
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
distributions,1,2,6,33.333333333333336
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
ishares,0,1,2,33.333333333333336
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
etfs,0,1,4,020.0
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
nyse,25,79,83,55.61497326203209
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
point,2,2,2,66.66666666666667
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
loma,2,1,2,060.0
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
resources,4,14,15,54.54545454545455
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
third,1,32,43,43.421052631578945
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
quarter,10,66,92,45.23809523809524
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
financial,10,33,53,44.791666666666664
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
operating,1,3,6,040.0
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
results,15,72,117,42.64705882352941
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
venture,14,43,60,48.717948717948715
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
exchange,20,89,118,48.01762114537445
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
november,28,68,103,48.24120603015076
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
alamos,1,1,4,33.333333333333336
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
gold,2,13,19,44.11764705882353
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
completion,6,13,14,57.57575757575758
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
acquisition,3,6,11,045.0
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
richmont,0,0,1,000.0
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
mines,4,6,6,062.5
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
strong,66,218,312,47.651006711409394
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
amounts,0,1,3,025.0
KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
united,1,6,9,43.75
