KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
blackrock,1,2,3,050.0
canada,3,9,11,52.17391304347826
announces,133,409,555,49.407474931631725
estimated,1,2,4,42.857142857142854
2017,80,258,396,46.049046321525886
annual,16,94,103,51.64319248826291
reinvested,0,1,2,33.333333333333336
capital,9,35,56,044.0
gains,1,1,3,040.0
distributions,2,4,7,46.15384615384615
ishares,1,2,3,050.0
etfs,0,1,4,020.0
nyse,38,129,181,47.98850574712644
point,3,4,2,77.77777777777777
loma,2,1,2,060.0
resources,4,13,26,39.53488372093023
third,4,45,47,51.041666666666664
quarter,21,102,172,41.69491525423729
financial,19,54,111,39.67391304347826
operating,4,3,10,41.1764705882353
results,29,122,208,42.061281337047355
venture,19,64,93,47.15909090909091
exchange,35,148,191,48.93048128342246
november,32,86,114,50.86206896551724
alamos,1,1,4,33.333333333333336
gold,4,17,28,42.857142857142854
completion,7,19,25,50.98039215686274
acquisition,8,15,30,43.39622641509434
richmont,0,0,1,000.0
mines,4,6,8,55.55555555555556
strong,92,325,454,47.876004592422504
amounts,0,1,3,025.0
united,2,10,17,41.37931034482759
states,2,3,14,26.31578947368421
dollars,0,1,3,025.0
unless,0,1,3,025.0
otherwise,0,1,3,025.0
stated,0,1,3,025.0
technologies,4,17,32,39.62264150943396
passing,0,0,2,000.0
jean,0,1,2,33.333333333333336
lamarre,0,0,1,000.0
chairman,1,1,3,040.0
board,10,30,43,48.19277108433735
directors,5,23,31,47.45762711864407
company,15,37,80,39.39393939393939
global,15,36,65,43.96551724137931
carbon,0,4,0,100.0
black,2,7,6,060.0
market,9,46,53,50.925925925925924
2025,1,2,1,075.0
profiles,0,1,0,100.0
producers,0,1,0,100.0
including,0,3,8,27.272727272727273
product,2,20,14,61.111111111111114
production,6,26,19,62.745098039215684
capacities,0,1,0,100.0
revenues,0,13,19,40.625
west,1,5,6,050.0
energy,9,48,47,54.80769230769231
services,5,18,29,44.23076923076923
closing,13,28,33,55.4054054054054
shares,6,16,24,47.82608695652174
debt,5,11,9,064.0
settlement,2,7,8,52.94117647058823
10h00,0,1,0,100.0
deborah,0,1,0,100.0
rose,0,1,1,050.0
designe,0,1,0,100.0
parmi,0,1,0,100.0
femmes,0,1,0,100.0
plus,1,2,2,060.0
influentes,0,1,0,100.0
macro,0,1,0,100.0
enterprises,2,5,8,46.666666666666664
mobi724,0,1,3,025.0
solutions,5,16,40,34.42622950819672
mobif,0,0,1,000.0
files,0,4,13,23.529411764705884
statements,0,0,1,000.0
invites,0,0,1,000.0
current,0,2,3,040.0
future,0,10,7,58.8235294117647
investors,4,9,27,032.5
webinar,0,0,2,000.0
material,0,0,1,000.0
management,7,12,24,44.18604651162791
update,5,16,22,48.83720930232558
step,0,0,1,000.0
governance,0,0,3,000.0
group,17,51,78,46.57534246575342
landsnet,0,0,1,000.0
reaches,0,0,2,000.0
agreement,15,40,65,45.833333333333336
with,33,95,162,44.13793103448276
nordic,1,5,11,35.294117647058826
investment,6,18,14,63.1578947368421
bank,13,14,23,054.0
iceland,0,0,1,000.0
stock,25,93,116,50.427350427350426
lnet,0,0,1,000.0
0911,0,0,1,000.0
dryships,0,1,0,100.0
launch,6,20,34,43.333333333333336
website,0,2,1,66.66666666666667
eurocontrol,0,1,0,100.0
reports,21,78,137,41.94915254237288
sicpa,0,1,0,100.0
awarded,2,2,2,66.66666666666667
mozambique,0,1,0,100.0
fuel,0,2,3,040.0
marking,0,1,4,020.0
contract,5,10,15,050.0
share,8,32,33,54.794520547945204
buyback,1,2,2,060.0
copenhagen,4,3,5,58.333333333333336
bazaarvoice,0,1,0,100.0
enters,4,22,27,49.056603773584904
into,5,21,20,56.52173913043478
definitive,1,4,6,45.45454545454545
acquired,0,1,0,100.0
marlin,0,1,0,100.0
equity,2,9,3,78.57142857142857
partners,6,34,35,53.333333333333336
agrees,0,3,0,100.0
trial,4,23,26,50.943396226415096
mining,6,12,13,58.064516129032256
eureka,0,1,0,100.0
mine,0,1,2,33.333333333333336
endexx,0,0,1,000.0
acquires,1,11,15,44.44444444444444
holistic,0,0,1,000.0
earth,0,5,8,38.46153846153846
remedies,0,0,1,000.0
best,0,3,7,030.0
selling,0,0,3,000.0
topical,1,0,3,025.0
pain,3,1,2,66.66666666666667
relief,1,0,1,050.0
products,0,4,9,30.76923076923077
full,4,18,43,33.84615384615385
scale,1,2,1,075.0
integration,1,2,5,037.5
maggie,0,0,2,000.0
mist,0,0,1,000.0
balm,0,0,2,000.0
revenue,7,36,49,46.73913043478261
producing,0,0,1,000.0
immediately,0,0,1,000.0
capture,0,0,1,000.0
percent,0,7,9,43.75
increase,3,17,28,41.666666666666664
independent,3,6,8,52.94117647058823
inspectors,0,0,1,000.0
election,0,3,1,075.0
certify,0,0,1,000.0
meeting,1,16,23,042.5
resonant,1,0,3,025.0
expands,3,9,19,38.70967741935484
fabless,0,0,1,000.0
filter,0,0,1,000.0
system,2,7,14,39.130434782608695
signing,1,1,4,33.333333333333336
first,13,46,53,52.67857142857143
foundry,0,0,1,000.0
backend,0,0,1,000.0
packaging,0,0,1,000.0
partner,3,14,16,51.515151515151516
calliduscloud,0,2,0,100.0
president,3,10,11,54.166666666666664
present,10,97,97,52.450980392156865
credit,7,19,12,68.42105263157895
suisse,0,3,0,100.0
21st,0,1,0,100.0
technology,4,34,54,41.30434782608695
media,2,7,7,56.25
telecom,0,1,0,100.0
conference,17,105,112,52.136752136752136
nasdaq,106,441,589,48.151408450704224
cald,0,2,0,100.0
reminder,3,8,20,35.483870967741936
alert,3,10,13,050.0
efabless,0,1,1,050.0
risc,0,4,0,100.0
workshop,0,2,1,66.66666666666667
talk,0,1,0,100.0
creating,0,3,1,075.0
mixed,0,2,0,100.0
signal,0,2,1,66.66666666666667
asic,0,2,0,100.0
using,0,3,1,075.0
open,1,7,7,53.333333333333336
source,0,2,1,66.66666666666667
implementation,0,1,0,100.0
toolset,0,3,0,100.0
will,2,3,6,45.45454545454545
describe,0,1,0,100.0
designing,0,1,0,100.0
verifying,0,1,0,100.0
implementing,0,1,0,100.0
perseus,0,1,0,100.0
limited,1,6,9,43.75
australian,0,1,5,16.666666666666668
tangelo,1,6,7,050.0
games,0,1,1,050.0
lender,0,0,1,000.0
amend,0,0,1,000.0
facility,6,13,12,61.29032258064516
covenants,0,0,1,000.0
reduced,0,0,1,000.0
maturity,0,0,1,000.0
extended,0,5,5,050.0
cisco,0,5,3,062.5
event,1,9,15,040.0
community,0,4,2,66.66666666666667
hadoop,0,0,1,000.0
billion,5,23,27,50.90909090909091
2022,1,1,5,28.571428571428573
zion,0,2,5,28.571428571428573
research,7,46,68,43.80165289256198
medigus,0,1,0,100.0
electric,1,2,2,060.0
scooter,1,0,0,100.0
motorcycle,1,0,0,100.0
analysis,4,20,18,57.142857142857146
forecast,1,3,0,100.0
mtbc,0,0,2,000.0
largest,0,1,5,16.666666666666668
client,0,1,2,33.333333333333336
provider,1,3,6,040.0
leading,1,3,12,025.0
growth,15,89,112,48.148148148148145
skinvisible,0,1,0,100.0
proposed,1,6,12,36.8421052631579
merger,2,2,4,050.0
quoin,0,1,0,100.0
pharmaceuticals,14,37,71,41.80327868852459
