KEYWORDS, BEST,GOOD,BAD,EACH WORD ,BETA %%
blackrock,1,2,3,050.0,1.72
canada,3,9,11,52.17391304347826,0.95
announces,133,409,555,49.407474931631725,0.84
estimated,1,2,4,42.857142857142854,0.7
2017,80,258,396,46.049046321525886,1.44
annual,16,94,103,51.64319248826291,1.82
reinvested,0,1,2,33.333333333333336,100
capital,9,35,56,044.0,0.84
gains,1,1,3,040.0,100
distributions,2,4,7,46.15384615384615,1.14
ishares,1,2,3,050.0,1.72
etfs,0,1,4,020.0,100
nyse,38,129,181,47.98850574712644,0.84
point,3,4,2,77.77777777777777,0.96
loma,2,1,2,060.0,100
resources,4,13,26,39.53488372093023,1.28
third,4,45,47,51.041666666666664,0.2
quarter,21,102,172,41.69491525423729,1.44
financial,19,54,111,39.67391304347826,2.13
operating,4,3,10,41.1764705882353,1.57
results,29,122,208,42.061281337047355,1.44
venture,19,64,93,47.15909090909091,1.49
exchange,35,148,191,48.93048128342246,1.79
november,32,86,114,50.86206896551724,1.41
alamos,1,1,4,33.333333333333336,100
gold,4,17,28,42.857142857142854,1.79
completion,7,19,25,50.98039215686274,1.02
acquisition,8,15,30,43.39622641509434,0.34
richmont,0,0,1,000.0,100
mines,4,6,8,55.55555555555556,1.62
strong,92,325,454,47.876004592422504,0.34
amounts,0,1,3,025.0,100
united,2,10,17,41.37931034482759,2.34
states,2,3,14,26.31578947368421,2.34
dollars,0,1,3,025.0,100
unless,0,1,3,025.0,100
otherwise,0,1,3,025.0,100
stated,0,1,3,025.0,100
technologies,4,17,32,39.62264150943396,1.41
passing,0,0,2,000.0,1.53
jean,0,1,2,33.333333333333336,100
lamarre,0,0,1,000.0,100
chairman,1,1,3,040.0,1.79
board,10,30,43,48.19277108433735,-2.39
directors,5,23,31,47.45762711864407,0.3
company,15,37,80,39.39393939393939,2.34
global,15,36,65,43.96551724137931,-1.0
carbon,0,4,0,100.0,-1.18
black,2,7,6,060.0,-1.18
market,9,46,53,50.925925925925924,0.54
2025,1,2,1,075.0,0.58
profiles,0,1,0,100.0,100
producers,0,1,0,100.0,100
including,0,3,8,27.272727272727273,1.76
product,2,20,14,61.111111111111114,-0.33
production,6,26,19,62.745098039215684,-1.0
capacities,0,1,0,100.0,100
revenues,0,13,19,40.625,0.34
west,1,5,6,050.0,0.72
energy,9,48,47,54.80769230769231,1.49
services,5,18,29,44.23076923076923,-1.0
closing,13,28,33,55.4054054054054,-1.0
shares,6,16,24,47.82608695652174,-1.0
debt,5,11,9,064.0,-2.39
settlement,2,7,8,52.94117647058823,0.57
10h00,0,1,0,100.0,100
deborah,0,1,0,100.0,100
rose,0,1,1,050.0,100
designe,0,1,0,100.0,100
parmi,0,1,0,100.0,100
femmes,0,1,0,100.0,100
plus,1,2,2,060.0,100
influentes,0,1,0,100.0,100
macro,0,1,0,100.0,100
enterprises,2,5,8,46.666666666666664,-1.0
mobi724,0,1,3,025.0,100
solutions,5,16,40,34.42622950819672,3.5
mobif,0,0,1,000.0,100
files,0,4,13,23.529411764705884,-1.18
statements,0,0,1,000.0,100
invites,0,0,1,000.0,100
current,0,2,3,040.0,-7.64
future,0,10,7,58.8235294117647,1.84
investors,4,9,27,032.5,1.16
webinar,0,0,2,000.0,1.59
material,0,0,1,000.0,100
management,7,12,24,44.18604651162791,1.24
update,5,16,22,48.83720930232558,4.14
step,0,0,1,000.0,100
governance,0,0,3,000.0,1.28
group,17,51,78,46.57534246575342,0.52
landsnet,0,0,1,000.0,100
reaches,0,0,2,000.0,1.18
agreement,15,40,65,45.833333333333336,2.5
with,33,95,162,44.13793103448276,0.57
nordic,1,5,11,35.294117647058826,0.34
investment,6,18,14,63.1578947368421,0.84
bank,13,14,23,054.0,-1.0
iceland,0,0,1,000.0,100
stock,25,93,116,50.427350427350426,0.54
lnet,0,0,1,000.0,100
0911,0,0,1,000.0,100
dryships,0,1,0,100.0,100
launch,6,20,34,43.333333333333336,2.34
website,0,2,1,66.66666666666667,-1.79
eurocontrol,0,1,0,100.0,100
reports,21,78,137,41.94915254237288,2.13
sicpa,0,1,0,100.0,100
awarded,2,2,2,66.66666666666667,100
mozambique,0,1,0,100.0,100
fuel,0,2,3,040.0,1.61
marking,0,1,4,020.0,100
contract,5,10,15,050.0,0.34
share,8,32,33,54.794520547945204,1.02
buyback,1,2,2,060.0,1.4
copenhagen,4,3,5,58.333333333333336,0.95
bazaarvoice,0,1,0,100.0,100
enters,4,22,27,49.056603773584904,1.33
into,5,21,20,56.52173913043478,1.23
definitive,1,4,6,45.45454545454545,2.29
acquired,0,1,0,100.0,100
marlin,0,1,0,100.0,100
equity,2,9,3,78.57142857142857,1.83
partners,6,34,35,53.333333333333336,1.37
agrees,0,3,0,100.0,100
trial,4,23,26,50.943396226415096,0.29
mining,6,12,13,58.064516129032256,1.33
eureka,0,1,0,100.0,100
mine,0,1,2,33.333333333333336,100
endexx,0,0,1,000.0,100
acquires,1,11,15,44.44444444444444,0.34
holistic,0,0,1,000.0,100
earth,0,5,8,38.46153846153846,1.88
remedies,0,0,1,000.0,100
best,0,3,7,030.0,0.35
selling,0,0,3,000.0,100
topical,1,0,3,025.0,-2.89
pain,3,1,2,66.66666666666667,-2.89
relief,1,0,1,050.0,-2.89
products,0,4,9,30.76923076923077,1.64
full,4,18,43,33.84615384615385,-1.0
scale,1,2,1,075.0,100
integration,1,2,5,037.5,1.04
maggie,0,0,2,000.0,100
mist,0,0,1,000.0,100
balm,0,0,2,000.0,100
revenue,7,36,49,46.73913043478261,0.34
producing,0,0,1,000.0,100
immediately,0,0,1,000.0,100
capture,0,0,1,000.0,100
percent,0,7,9,43.75,3.5
increase,3,17,28,41.666666666666664,0.68
