7.128 http://www.globenewswire.com/news-release/2018/07/05/1533703/0/en/iFresh-Inc-Reports-Fiscal-Year-2018-Financial-Results.html
3 201807.297 http://www.globenewswire.com/news-release/2018/07/12/1536420/0/en/Zogenix-Announces-Positive-Top-line-Results-from-Second-Pivotal-Phase-3-Clinical-Trial-of-ZX008-in-Dravet-Syndrome.html
RPT 12.88 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536875/0/en/RAMCO-Properties-Announces-the-Appointment-of-Timothy-Collier-as-Executive-Vice-President-of-Leasing.html
KNL 21.7 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536880/0/en/Knoll-Inc-to-Announce-2018-Second-Quarter-Results.html
RTN 197.52 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536926/0/en/FishEye-Recognized-in-the-Top-2-of-Raytheon-Suppliers-and-Receives-5th-Excellence-Award.html
ZG 63.78 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536850/0/en/Zillow-Group-to-Announce-Second-Quarter-2018-Results-on-August-6.html
VVC 71.42 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536924/0/en/Vectren-Schedules-2018-Second-Quarter-Earnings-Release-and-Conference-Call.html
PZZA 53.67 201807.320 http://finance.yahoo.com/news/kollective-announces-integration-microsoft-stream-190000464.html
VNO 73.99 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536922/0/en/Vornado-Announces-Certain-Items-to-be-Included-in-its-Second-Quarter-2018-Financial-Results.html
FPI 6.3143 201807.320 http://www.globenewswire.com/news-release/2018/07/13/1536948/0/en/Gainey-McKenna-Egleston-Announces-A-Class-Action-Lawsuit-Has-Been-Filed-Against-Farmland-Partners-Inc-FPI.html
NEWT 20.23 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536801/0/en/Newtek-Small-Business-Loan-Trust-Securitization-2010-1-Rating-Raised-By-S-P-Global-Ratings-to-AAA.html
CTS 37.5 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536906/0/en/CTS-Corporation-Announces-Dates-for-Second-Quarter-2018-Earnings-Release-and-Conference-Call.html
FNKO 15.21 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536859/0/en/Pok%C3%A9mon-and-Funko-Team-Up-to-Launch-First-Ever-Pop-Pok%C3%A9mon-Figure.html
XELB 2.75 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536905/0/en/James-Fielding-Joins-Xcel-Brands-Inc-Board-of-Directors.html
GLDD 5.55 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536846/0/en/Great-Lakes-Announces-Receipt-of-70-Million-San-Jacinto-Award.html
UNM 37.72 201807.326 http://www.globenewswire.com/news-release/2018/07/13/1537233/0/en/Pomerantz-Law-Firm-Announces-the-Filing-of-a-Class-Action-against-Unum-Group-and-Certain-Officers-UNM.html
